time,turbidity,pH
2020-11-06 06:08:27.711845+00:00,26.61150649,7.35
2020-11-06 06:38:43.771944+00:00,26.73466229,7.35
2020-11-06 07:08:59.811518+00:00,27.85615918,7.35
2020-11-06 07:39:15.851751+00:00,27.85615918,7.41
2020-11-06 08:09:31.895742+00:00,28.73466229,7.35
2020-11-06 08:39:47.950892+00:00,27.85615918,7.35
2020-11-06 09:10:03.994532+00:00,32.61150649,7.35
2020-11-06 09:40:20.031331+00:00,35.97599715,7.34
2020-11-06 10:10:36.081495+00:00,37.73466229,7.37
2020-11-06 11:11:08.173673+00:00,38.61150649,7.36
2020-11-06 11:41:24.224612+00:00,40.09417621,7.35
2020-11-06 12:11:40.267604+00:00,50.85615918,7.35
2020-11-06 12:41:56.318674+00:00,53.85615918,7.35
2020-11-06 13:12:12.362634+00:00,50.73466229,7.35
2020-11-06 13:42:28.402507+00:00,47.73466229,7.35
2020-11-06 14:12:44.442544+00:00,47.73466229,7.35
2020-11-06 14:43:00.502584+00:00,47.48669177,7.34
2020-11-06 15:13:16.544281+00:00,45.73466229,7.35
2020-11-06 15:43:32.602733+00:00,43.48669177,7.35
2020-11-06 16:13:48.636276+00:00,43.97599715,7.35
2020-11-06 16:44:04.676902+00:00,42.73466229,7.35
2020-11-06 17:14:20.719784+00:00,41.73466229,7.36
2020-11-06 17:44:36.774190+00:00,40.73466229,7.35
2020-11-06 18:14:52.826169+00:00,39.85615918,7.35
2020-11-06 18:45:08.875723+00:00,40.61150649,7.34
2020-11-06 19:15:24.913509+00:00,39.73466229,7.37
2020-11-06 19:45:40.962131+00:00,39.73466229,7.35
2020-11-06 20:15:56.995583+00:00,39.48669177,7.35
2020-11-06 20:46:13.047066+00:00,39.48669177,7.35
2020-11-06 21:16:29.095232+00:00,37.09417621,7.35
2020-11-06 21:46:45.143300+00:00,36.85615918,7.3
2020-11-06 22:17:01.195419+00:00,35.97599715,7.3
2020-11-06 22:47:17.245431+00:00,35.73466229,7.3
2020-11-06 23:47:49.326466+00:00,30.97599715,7.35
2020-11-07 00:18:05.364476+00:00,29.73466229,7.35
2020-11-07 00:48:21.422731+00:00,29.85615918,7.35
2020-11-07 01:18:37.462485+00:00,29.61150649,7.34
2020-11-07 01:48:53.502790+00:00,27.73466229,7.35
2020-11-07 02:19:09.542656+00:00,28.73466229,7.35
2020-11-07 02:49:25.602499+00:00,27.85615918,7.35
2020-11-07 03:19:41.642504+00:00,26.73466229,7.35
2020-11-07 03:49:57.702088+00:00,25.97599715,7.34
2020-11-07 06:21:17.922464+00:00,25.61150649,7.35
2020-11-07 06:51:33.962863+00:00,25.85615918,7.35
2020-11-07 07:21:50.023060+00:00,27.97599715,7.36
2020-11-07 07:52:06.047301+00:00,27.85615918,7.34
2020-11-07 08:22:22.103020+00:00,28.09417621,7.35
2020-11-07 08:52:38.142630+00:00,27.85615918,7.34
2020-11-07 09:22:54.202949+00:00,25.97599715,7.36
2020-11-07 09:53:10.242541+00:00,20.85615918,7.35
2020-11-07 10:23:26.298879+00:00,20.85615918,7.35
2020-11-07 10:53:42.345100+00:00,21.73466229,7.35
2020-11-07 11:23:58.373261+00:00,21.85615918,7.35
2020-11-07 11:54:14.422708+00:00,22.61150649,7.35
2020-11-07 12:24:30.470558+00:00,22.85615918,7.35
2020-11-07 12:54:46.540751+00:00,21.73466229,7.35
2020-11-07 13:25:02.564320+00:00,22.85615918,7.35
2020-11-07 13:55:18.614452+00:00,21.73466229,7.35
2020-11-07 14:25:34.664344+00:00,21.85615918,7.35
2020-11-07 14:55:50.740333+00:00,21.73466229,7.35
2020-11-07 15:26:06.771788+00:00,22.73466229,7.35
2020-11-07 15:56:22.810044+00:00,23.97599715,7.35
2020-11-07 16:26:38.860035+00:00,22.61150649,7.35
2020-11-07 16:56:54.916082+00:00,21.73466229,7.37
2020-11-07 17:27:10.967773+00:00,21.48669177,7.35
2020-11-07 17:57:27.039422+00:00,23.97599715,7.35
2020-11-07 19:28:15.192590+00:00,23.73466229,7.35
2020-11-07 20:28:47.301086+00:00,23.61150649,7.35
2020-11-07 20:59:03.339739+00:00,26.97599715,7.39
2020-11-07 21:59:35.462138+00:00,25.85615918,7.35
2020-11-07 22:29:51.500793+00:00,26.85615918,7.35
2020-11-07 23:00:07.559429+00:00,25.85615918,7.35
2020-11-07 23:30:23.619649+00:00,24.85615918,7.36
2020-11-08 00:00:39.659350+00:00,24.73466229,7.35
2020-11-08 00:30:55.726894+00:00,23.73466229,7.35
2020-11-08 01:01:11.778912+00:00,23.61150649,7.36
2020-11-08 01:31:27.838139+00:00,22.85615918,7.35
2020-11-08 02:01:43.885940+00:00,21.73466229,7.35
2020-11-08 02:31:59.938643+00:00,20.73466229,7.36
2020-11-08 03:02:15.986132+00:00,20.73466229,7.36
2020-11-08 03:32:32.038361+00:00,20.73466229,7.35
